x,y
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
499,499
